name,category,carrier_element,carrier_block,include_study04,e2,e3,e5,e7,error_flags,warning_flags
Mo,SC_TypeII,Mo,d,1,0.26,0.15,0.52,0.07,,WARN_outlier_global_e5
Mo3Al,SC_Binary,Mo,d,1,1.18,0.06,0.0,0.12,,
Mo3Si,SC_Binary,Mo,d,1,1.18,0.06,0.0,0.12,,
MoC,SC_Binary,Mo,d,1,0.3,0.16,0.48,0.06,,
MoH11,SC_HighPressure,Mo,d,1,1.25,0.15,0.2,0.1,,
MoRe,SC_Binary,Re,d,1,1.18,0.06,0.0,0.12,,
Na2CsC60,SC_Molecular,C,p,0,,,,,,
NaAlSi,SC_Binary,Si,p,1,1.18,0.06,0.0,0.12,,
Nb,SC_TypeII,Nb,d,1,0.28,0.14,0.5,0.08,,WARN_outlier_vs_carrier_e2;WARN_outlier_vs_carrier_e3;WARN_outlier_vs_carrier_e5;WARN_outlier_vs_carrier_multi
Nb2PdS5,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
Nb2PdS5,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
Nb3Al,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
Nb3Al,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
Nb3Au,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
Nb3Ge,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
Nb3Ge,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
Nb3Sb,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
Nb3Sn,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
Nb3Sn,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
NbN,SC_TypeII,Nb,d,1,0.32,0.15,0.47,0.06,,WARN_outlier_vs_carrier_e2;WARN_outlier_vs_carrier_e3;WARN_outlier_vs_carrier_e5;WARN_outlier_vs_carrier_e7;WARN_outlier_vs_carrier_multi
NbSe2 (monolayer),SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
NbTi,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
NbZr,SC_Binary,Nb,d,1,1.18,0.06,0.0,0.12,,
Nd1.85Ce0.15CuO4,SC_Oxide,Cu,d,1,0.84,0.07,0.47,0.02,,
Nd2-xCexCuO4 (NCCO),SC_Oxide,Cu,d,1,0.84,0.07,0.47,0.02,,
NdFeAsO0.9F0.1,SC_IronBased,Fe,d,1,0.64,0.27,0.18,0.27,,
NdH9,SC_HighPressure,Nd,f,1,1.25,0.15,0.2,0.1,,
NiH4,SC_HighPressure,Ni,d,1,1.25,0.15,0.2,0.1,,
NiMo6S8,SC_Binary,Ni,d,1,1.18,0.06,0.0,0.12,,
NpPd5Al2,SC_HeavyFermion,Pd,d,0,0.0,0.0,0.0,0.0,,
Os,SC_TypeII,Os,d,1,0.28,0.16,0.5,0.06,,
Pa,SC_TypeII,Pa,f,1,0.16,0.13,0.28,0.43,,WARN_outlier_global_e2;WARN_outlier_global_e7
Pb,SC_TypeI,Pb,p,1,0.68,0.14,0.12,0.06,,
PbMo6S8,SC_Binary,Mo,d,1,1.18,0.06,0.0,0.12,,
PbMo6Se8,SC_Binary,Mo,d,1,1.18,0.06,0.0,0.12,,
