carrier_element,block,carrier_group,carrier_period,carrier_Z,n_materials,N_obs,delta_N_median,xi_obs,xi_norm,Q_lock,best_topology,C_total_min,C_e_min,C_N_min,C_xi_min,A_best,confidence
Lu,f,3.0,6.0,71.0,2,,0.2494096708331667,,0.0,0.7505903291668333,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Mg,s,2.0,3.0,12.0,11,,0.1750315532876873,1.126971112750853,1.0,0.8249684467123127,BIN_DIPOLE,2.638326492982425,0.4669451953797001,0.0,4.34276259520545,1.1059228311624476,0.9737483120086575
Mo,d,6.0,5.0,42.0,6,,0.2217648949284646,,0.0,0.7782351050715354,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Nb,d,5.0,5.0,41.0,33,,0.0972741183326659,1.0876581669572187,0.9428017001205263,0.9027258816673341,BIN_DIPOLE,2.5404212919563594,0.4669451953797001,0.0,4.146952193153319,1.1059228311624476,0.974714195358833
Ni,d,10.0,4.0,28.0,1,,0.0734742460352504,,0.0,0.9265257539647496,TRI_RING,9.16030534351145,9.16030534351145,0.0,0.0,2.4427480916030535,0.977028668530292
Os,d,8.0,6.0,76.0,1,,0.4110036798657575,,0.0,0.5889963201342425,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Pa,f,3.0,7.0,91.0,1,,0.1525854174039267,,0.0,0.8474145825960733,BIN_DIPOLE,89.72720570164658,89.72720570164658,0.0,0.0,4.448267387564512,0.9462416467097384
Pb,p,14.0,6.0,82.0,1,,0.0194260131313215,,0.0,0.9805739868686785,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Pt,d,10.0,6.0,78.0,4,,0.0928015801750774,0.4979639800527025,0.08482720192841865,0.9071984198249226,TETRA_PACK,84.37370602024215,84.06593406593406,0.0,0.6155439086161828,4.725274725274725,0.9060875278899064
Re,d,7.0,6.0,75.0,2,,0.3325228493176588,,0.0,0.6674771506823411,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Rh,d,9.0,5.0,45.0,1,,0.0367125013144686,,0.0,0.9632874986855314,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Ru,d,8.0,5.0,44.0,2,,0.3162411086754702,,0.0,0.6837588913245298,TETRA_PACK,34.47802197802197,34.47802197802197,0.0,0.0,3.0219780219780223,0.9116769322098093
Sc,d,3.0,4.0,21.0,3,,0.2575398341923951,,0.0,0.7424601658076049,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Se,p,16.0,4.0,34.0,1,,0.3232927305333533,,0.0,0.6767072694666467,TETRA_PACK,521.978021978022,521.978021978022,0.0,0.0,6.593406593406594,0.7533037105430204
Sn,p,14.0,5.0,50.0,1,,0.1315244723735364,,0.0,0.8684755276264636,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Sr,s,2.0,5.0,38.0,4,,0.147779970922679,,0.0,0.852220029077321,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Ta,d,5.0,6.0,73.0,6,,0.2477790081656552,,0.0,0.7522209918343448,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Tc,d,7.0,5.0,43.0,1,,0.010450803085968,,0.0,0.989549196914032,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Th,f,3.0,7.0,90.0,4,,0.2567229531821183,,0.0,0.7432770468178818,TETRA_PACK,5.494505494505494,5.494505494505494,0.0,0.0,0.989010989010989,0.8635846911708981
Ti,d,4.0,4.0,22.0,2,,0.1154196201377679,,0.0,0.8845803798622321,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Tl,p,13.0,6.0,81.0,1,,0.3165063171004973,,0.0,0.6834936828995026,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
V,d,5.0,4.0,23.0,2,,0.1679293323326316,,0.0,0.8320706676673684,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
W,d,6.0,6.0,74.0,4,,0.1075704441345948,,0.0,0.8924295558654052,BIN_DIPOLE,7.471123126075201,7.471123126075201,0.0,0.0,4.42369132464979,0.9952581534422682
Y,d,3.0,5.0,39.0,5,,0.1187539779353118,,0.0,0.8812460220646882,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Yb,f,3.0,6.0,70.0,1,,0.1568530350988037,,0.0,0.8431469649011963,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Zn,d,12.0,4.0,30.0,1,,0.3480492401525623,,0.0,0.6519507598474377,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
Zr,d,4.0,5.0,40.0,4,,0.2299579988563813,,0.0,0.7700420011436186,BIN_DIPOLE,0.4669451953797001,0.4669451953797001,0.0,0.0,1.1059228311624476,0.9952581534422682
