carrier_element,block,topology_id,C_e,C_N,C_xi,C_total,A_T,N_obs,N_sim,xi_obs,xi_sim,q_lock
Lu,f,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.24952773666653333,0.7505903291668333
Lu,f,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.29940967083316666,0.7505903291668333
Mg,s,BIN_DIPOLE,0.4669451953797001,0.0,4.34276259520545,2.638326492982425,1.1059228311624476,,,1.126971112750853,0.08500631065753746,0.8249684467123127
Mg,s,TRI_RING,98.47328244274806,0.0,4.055861613898472,100.50121324969729,0.15267175572519084,,,1.126971112750853,0.12001262131507491,0.8249684467123127
Mg,s,TETRA_PACK,20.879120879120876,0.0,3.778764166878312,22.76850296256003,1.3186813186813187,,,1.126971112750853,0.15501893197261235,0.8249684467123127
Mg,s,PENTA_FLOWER,64.49275362318839,0.0,3.5114702541449665,66.24848875026088,1.0144927536231882,,,1.126971112750853,0.1900252426301498,0.8249684467123127
Mg,s,HEPTA_FLOWER,71.42857142857144,0.0,3.253979875698439,73.05556136642066,0.9523809523809522,,,1.126971112750853,0.22503155328768726,0.8249684467123127
Mo,d,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.09435297898569293,0.7782351050715354
Mo,d,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.13870595797138585,0.7782351050715354
Mo,d,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.18305893695707876,0.7782351050715354
Mo,d,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.22741191594277171,0.7782351050715354
Mo,d,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.2717648949284646,0.7782351050715354
Nb,d,BIN_DIPOLE,0.4669451953797001,0.0,4.146952193153319,2.5404212919563594,1.1059228311624476,,,1.0876581669572187,0.06945482366653317,0.9027258816673341
Nb,d,TRI_RING,98.47328244274806,0.0,3.9899944218057435,100.46827965365092,0.15267175572519084,,,1.0876581669572187,0.08890964733306635,0.9027258816673341
Nb,d,TETRA_PACK,20.879120879120876,0.0,3.8360645717693354,22.797153165005543,1.3186813186813187,,,1.0876581669572187,0.10836447099959952,0.9027258816673341
Nb,d,PENTA_FLOWER,64.49275362318839,0.0,3.685162643044095,66.33533494471044,1.0144927536231882,,,1.0876581669572187,0.12781929466613268,0.9027258816673341
Nb,d,HEPTA_FLOWER,71.42857142857144,0.0,3.537288635630022,73.19721574638646,0.9523809523809522,,,1.0876581669572187,0.14727411833266585,0.9027258816673341
Ni,d,BIN_DIPOLE,398.7711968542639,0.0,0.0,398.7711968542639,0.1228803145736053,,,,0.0646948492070501,0.9265257539647496
Ni,d,TRI_RING,9.16030534351145,0.0,0.0,9.16030534351145,2.4427480916030535,,,,0.07938969841410018,0.9265257539647496
Ni,d,TETRA_PACK,320.8791208791209,0.0,0.0,320.8791208791209,1.3186813186813187,,,,0.09408454762115026,0.9265257539647496
Ni,d,PENTA_FLOWER,388.40579710144925,0.0,0.0,388.40579710144925,0.5797101449275363,,,,0.10877939682820036,0.9265257539647496
Ni,d,HEPTA_FLOWER,396.8253968253969,0.0,0.0,396.8253968253969,0.31746031746031744,,,,0.12347424603525044,0.9265257539647496
Os,d,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.13220073597315152,0.5889963201342425
Os,d,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.214401471946303,0.5889963201342425
Os,d,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.29660220791945446,0.5889963201342425
Os,d,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.378802943892606,0.5889963201342425
Os,d,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.46100367986575747,0.5889963201342425
Pa,f,BIN_DIPOLE,89.72720570164658,0.0,0.0,89.72720570164658,4.448267387564512,,,,0.08051708348078535,0.8474145825960733
Pa,f,TRI_RING,1669.0839694656486,0.0,0.0,1669.0839694656486,0.6870229007633588,,,,0.1110341669615707,0.8474145825960733
Pa,f,TETRA_PACK,380.7692307692307,0.0,0.0,380.7692307692307,5.384615384615384,,,,0.14155125044235603,0.8474145825960733
Pa,f,PENTA_FLOWER,1047.8260869565217,0.0,0.0,1047.8260869565217,4.3478260869565215,,,,0.1720683339231414,0.8474145825960733
Pa,f,HEPTA_FLOWER,887.3015873015875,0.0,0.0,887.3015873015875,5.079365079365079,,,,0.20258541740392672,0.8474145825960733
Pb,p,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.05388520262626431,0.9805739868686785
Pb,p,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.05777040525252861,0.9805739868686785
Pb,p,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.06165560787879292,0.9805739868686785
Pb,p,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.06554081050505722,0.9805739868686785
Pb,p,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.06942601313132153,0.9805739868686785
Pt,d,BIN_DIPOLE,150.3317768493487,0.0,0.7375500266872584,150.70055186269232,3.416072745146227,,,0.4979639800527025,0.0685603160350155,0.9071984198249226
Pt,d,TRI_RING,898.0916030534352,0.0,0.6751690263264422,898.4291875665983,1.7557251908396947,,,0.4979639800527025,0.08712063207003098,0.9071984198249226
Pt,d,TETRA_PACK,84.06593406593406,0.0,0.6155439086161828,84.37370602024215,4.725274725274725,,,0.4979639800527025,0.10568094810504647,0.9071984198249226
Pt,d,PENTA_FLOWER,357.97101449275357,0.0,0.5586746735564808,358.2503518295318,4.637681159420289,,,0.4979639800527025,0.12424126414006197,0.9071984198249226
Pt,d,HEPTA_FLOWER,642.8571428571429,0.0,0.5045613211473361,643.1094235177166,3.809523809523809,,,0.4979639800527025,0.14280158017507744,0.9071984198249226
Re,d,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.11650456986353178,0.6674771506823411
Re,d,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.18300913972706356,0.6674771506823411
Re,d,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.24951370959059532,0.6674771506823411
Re,d,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.3160182794541271,0.6674771506823411
Re,d,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.38252284931765884,0.6674771506823411
Rh,d,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.05734250026289372,0.9632874986855314
Rh,d,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.06468500052578743,0.9632874986855314
Rh,d,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.07202750078868114,0.9632874986855314
Rh,d,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.07937000105157486,0.9632874986855314
Rh,d,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.08671250131446857,0.9632874986855314
Ru,d,BIN_DIPOLE,36.234332759891856,0.0,0.0,36.234332759891856,2.254853772425657,,,,0.11324822173509404,0.6837588913245298
Ru,d,TRI_RING,390.36259541984737,0.0,0.0,390.36259541984737,0.9541984732824427,,,,0.17649644347018806,0.6837588913245298
Ru,d,TETRA_PACK,34.47802197802197,0.0,0.0,34.47802197802197,3.0219780219780223,,,,0.2397446652052821,0.6837588913245298
Ru,d,PENTA_FLOWER,264.4927536231884,0.0,0.0,264.4927536231884,2.3188405797101446,,,,0.3029928869403761,0.6837588913245298
Ru,d,HEPTA_FLOWER,233.92857142857142,0.0,0.0,233.92857142857142,2.6190476190476186,,,,0.36624110867547016,0.6837588913245298
Sc,d,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.10150796683847903,0.7424601658076049
Sc,d,TRI_RING,98.47328244274806,0.0,0.0,98.47328244274806,0.15267175572519084,,,,0.15301593367695804,0.7424601658076049
Sc,d,TETRA_PACK,20.879120879120876,0.0,0.0,20.879120879120876,1.3186813186813187,,,,0.20452390051543706,0.7424601658076049
Sc,d,PENTA_FLOWER,64.49275362318839,0.0,0.0,64.49275362318839,1.0144927536231882,,,,0.2560318673539161,0.7424601658076049
Sc,d,HEPTA_FLOWER,71.42857142857144,0.0,0.0,71.42857142857144,0.9523809523809522,,,,0.3075398341923951,0.7424601658076049
Se,p,BIN_DIPOLE,1466.5765544359792,0.0,0.0,1466.5765544359792,3.563529122634554,,,,0.11465854610667066,0.6767072694666467
Se,p,TRI_RING,629.7709923664121,0.0,0.0,629.7709923664121,5.343511450381679,,,,0.1793170922133413,0.6767072694666467
Se,p,TETRA_PACK,521.978021978022,0.0,0.0,521.978021978022,6.593406593406594,,,,0.24397563832001196,0.6767072694666467
Se,p,PENTA_FLOWER,1890.5797101449275,0.0,0.0,1890.5797101449275,4.202898550724637,,,,0.3086341844266826,0.6767072694666467
Se,p,HEPTA_FLOWER,2115.873015873016,0.0,0.0,2115.873015873016,3.492063492063491,,,,0.37329273053335327,0.6767072694666467
Sn,p,BIN_DIPOLE,0.4669451953797001,0.0,0.0,0.4669451953797001,1.1059228311624476,,,,0.07630489447470729,0.8684755276264636
