carrier_element,block,n_materials,topology_id,C_e,C_xi,C_total,Q_lock,xi_norm
La,f,13,TRI_RING,1.1684215500945183,0.23681744468710927,1.286830272438073,0.2684850088481041,0.8093390004017538
La,f,13,TETRA_PACK,0.1423345935727789,0.2960218058588866,0.2903454965022222,0.2684850088481041,0.8093390004017538
La,f,13,PENTA_FLOWER,0.41494328922495277,0.4144305282024412,0.6221585533261733,0.2684850088481041,0.8093390004017538
La,f,13,HEPTA_FLOWER,0.5110302457466921,0.5328392505459959,0.77744987101969,0.2684850088481041,0.8093390004017538
Lu,f,2,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.4179288749973281,0.0
Lu,f,2,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.4179288749973281,0.0
Lu,f,2,TETRA_PACK,0.255,0.0,0.255,0.4179288749973281,0.0
Lu,f,2,PENTA_FLOWER,0.645,0.0,0.645,0.4179288749973281,0.0
Lu,f,2,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.4179288749973281,0.0
Mg,s,11,BIN_DIPOLE,0.022117580340264648,0.08124313207298979,0.06273914637675954,0.5937843396350511,1.0
Mg,s,11,TRI_RING,0.9241871455576559,0.16248626414597958,1.0054302776306456,0.5937843396350511,1.0
Mg,s,11,TETRA_PACK,0.07201323251417771,0.20310783018247447,0.17356714760541495,0.5937843396350511,1.0
Mg,s,11,PENTA_FLOWER,0.4446219281663516,0.28435096225546425,0.5867974092940837,0.5937843396350511,1.0
Mg,s,11,HEPTA_FLOWER,0.5146219281663519,0.3655940943284541,0.697418975330579,0.5937843396350511,1.0
Mo,d,6,BIN_DIPOLE,0.24527928994082837,0.0,0.24527928994082837,0.4832906382680173,0.0
Mo,d,6,TRI_RING,0.36801775147929006,0.0,0.36801775147929006,0.4832906382680173,0.0
Mo,d,6,TETRA_PACK,0.014171597633136085,0.0,0.014171597633136085,0.4832906382680173,0.0
Mo,d,6,PENTA_FLOWER,0.26571005917159773,0.0,0.26571005917159773,0.4832906382680173,0.0
Mo,d,6,HEPTA_FLOWER,0.35878698224852085,0.0,0.35878698224852085,0.4832906382680173,0.0
Nb,d,33,BIN_DIPOLE,0.01309442672171139,0.04193022437444386,0.03405953890893332,0.777629673508843,0.9428017001205263
Nb,d,33,TRI_RING,1.102513604803903,0.08386044874888772,1.144443829178347,0.777629673508843,0.9428017001205263
Nb,d,33,TETRA_PACK,0.121691686995684,0.10482556093610965,0.1741044674637388,0.777629673508843,0.9428017001205263
Nb,d,33,PENTA_FLOWER,0.4404588102833553,0.1467557853105535,0.513836702938632,0.777629673508843,0.9428017001205263
Nb,d,33,HEPTA_FLOWER,0.43374648151623196,0.18868600968499738,0.5280894863587307,0.777629673508843,0.9428017001205263
Ni,d,1,BIN_DIPOLE,1.7137999999999998,0.0,1.7137999999999998,0.8339007615559599,0.0
Ni,d,1,TRI_RING,0.05499999999999999,0.0,0.05499999999999999,0.8339007615559599,0.0
Ni,d,1,TETRA_PACK,0.855,0.0,0.855,0.8339007615559599,0.0
Ni,d,1,PENTA_FLOWER,1.145,0.0,1.145,0.8339007615559599,0.0
Ni,d,1,HEPTA_FLOWER,1.215,0.0,1.215,0.8339007615559599,0.0
Os,d,1,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.03586503043010569,0.0
