name,subnets,num_subnets,pair_count,mismatch_sum,mismatch_mean,N_mismatch,M_struct_sum,M_struct_mean,ratios_used_mean,exp_diff_mean_2,exp_diff_mean_3,exp_diff_mean_5,exp_diff_mean_7,pressure_GPa,category,zeta_used,predicted_noise,xi_exp_2,xi_exp_3,xi_exp_5,xi_exp_7,k_skin
LaH10,"['H1-optic-sigma', 'H2-optic-pi', 'La-acous-sigma']",3,3,144.0,48.0,48.0,3.5303867984182626,1.1767955994727541,3.0,3.5555555555555554,2.4444444444444446,4.888888888888889,5.111111111111111,170.0,SC_HighPressure,0.02451657498901571,1.176795599472754,0.6329092894027682,1.120928487693858,1.4438948834883385,1.3613236227740557,0.05
LaO0.9F0.1FeAs,"['electron-band', 'hole-band']",2,1,6.0,6.0,6.0,1.4495505135564588,1.4495505135564588,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,SC_IronBased,0.0382314280121641,0.2293885680729846,0.11867049176301904,0.3057077693710521,0.19689475683931884,0.0,0.05
LaPt2Si2,"['gap1', 'gap2']",2,1,19.0,19.0,19.0,0.6576078155726616,0.6576078155726616,3.0,1.3333333333333333,2.0,2.0,1.0,0.0,SC_Binary,0.026208630529089606,0.4979639800527025,0.23734098352603808,0.9171233081131563,0.5906842705179566,0.266345926194924,0.05
MgB2,"['pi', 'sigma']",2,1,43.0,43.0,43.0,0.8643005085098098,0.8643005085098098,3.0,5.333333333333333,3.3333333333333335,1.6666666666666667,4.0,0.0,SC_Binary,0.026208630529089606,1.126971112750853,0.9493639341041523,1.5285388468552605,0.4922368920982972,1.065383704779696,0.05
Nb2PdS5,"['band1', 'band2']",2,1,47.0,47.0,47.0,0.009136568656961693,0.009136568656961693,3.0,4.333333333333333,1.6666666666666667,4.333333333333333,5.333333333333333,0.0,SC_Binary,0.026208630529089606,1.2318056348672115,0.7713581964596238,0.7642694234276303,1.2798159194555725,1.4205116063729277,0.05
Nb3Al,"['gap1', 'gap2']",2,1,26.0,26.0,26.0,2.427814650747428,2.427814650747428,3.0,3.3333333333333335,3.0,1.0,1.3333333333333333,0.0,SC_Binary,0.026208630529089606,0.6814243937563298,0.5933524588150952,1.3756849621697345,0.2953421352589783,0.35512790159323193,0.05
Nb3Ge,"['gap1', 'gap2']",2,1,36.0,36.0,36.0,2.372970924178663,2.372970924178663,3.0,0.6666666666666666,3.0,5.0,3.3333333333333335,0.0,SC_Binary,0.026208630529089606,0.9435106990472258,0.11867049176301904,1.3756849621697345,1.4767106762948914,0.88781975398308,0.05
Nb3Sn,"['gap1', 'gap2']",2,1,24.0,24.0,24.0,2.336650315377213,2.336650315377213,3.0,0.0,4.0,0.6666666666666666,3.3333333333333335,0.0,SC_Binary,0.026208630529089606,0.6290071326981506,0.0,1.8342466162263127,0.19689475683931884,0.88781975398308,0.05
TaIr2B2,"['band1', 'band2']",2,1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,SC_Binary,0.026208630529089606,0.0,0.0,0.0,0.0,0.0,0.05
V3Si,"['gap1', 'gap2']",2,1,8.0,8.0,8.0,0.89200773057425,0.89200773057425,3.0,0.6666666666666666,1.3333333333333333,0.0,0.6666666666666666,0.0,SC_Binary,0.026208630529089606,0.20966904423271684,0.11867049176301904,0.6114155387421042,0.0,0.17756395079661597,0.05
