name,category,hypothesis_winner,f_base_used,Fm_raw,Fm_corr,N_value,delta_value,predicted_noise,z_noise,p_shuffle,p_lognorm,p_gamma,spearman_rho,spearman_ci_low,spearman_ci_high,cliffs_delta
(TMTSF)2PF6 (under P),SC_Molecular,Fm,4.665463717730834,181.8181818181818,181.8181818181818,38.97108472351676,0.028915276483239438,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
1T-TaS2 (pressure 4 GPa),SC_Binary,Fm,4.156899291773667,36.36363636363637,36.36363636363637,8.747779008165656,0.2522209918343439,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
1T'-MoTe2,SC_Binary,Fm,4.156899291773667,2000.0,2000.0,481.1278454491111,0.12784544911107787,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
1T'-WTe2,SC_Binary,Fm,4.156899291773667,3900.0,3900.0,938.1992986257666,0.19929862576657342,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
2H-NbS2,SC_Binary,Fm,4.156899291773667,41.666666666666664,41.666666666666664,10.023496780189813,0.023496780189812938,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
2H-NbSe2,SC_Binary,Fm,4.156899291773667,27.77777777777778,12.30186106592313,2.9593839548309506,0.040616045169049375,1.2580142653963011,1.1950036424841102,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
2H-NbSe2,SC_Binary,Fm,4.156899291773667,27.77777777777778,12.30186106592313,2.9593839548309506,0.040616045169049375,1.2580142653963011,1.1950036424841102,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
2H-Pd0.08TaSe2,SC_Binary,Fm,4.156899291773667,78.7878787878788,78.7878787878788,18.953521184358923,0.04647881564107692,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
2H-TaS2,SC_Binary,Fm,4.156899291773667,300.0,300.0,72.16917681736666,0.16917681736666168,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
2H-TaS2 (thin 3.5nm),SC_Binary,Fm,4.156899291773667,109.09090909090908,109.09090909090908,26.243337024496967,0.2433370244969666,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
2H-TaSe2,SC_Binary,Fm,4.156899291773667,1785.7142857142856,1785.7142857142856,429.5784334367063,0.4215665632937089,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
2H-VSe2,SC_Binary,Fm,4.156899291773667,1200.0,1200.0,288.67670726946665,0.3232927305333533,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
2M-WS2,SC_Binary,Fm,4.156899291773667,29.545454545454543,29.545454545454543,7.107570444134595,0.10757044413459482,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
2M-WS2 (thin <20nm),SC_Binary,Fm,4.156899291773667,29.545454545454543,29.545454545454543,7.107570444134595,0.10757044413459482,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
3R-Ta0.9Mo0.1Se2,SC_Binary,Fm,4.156899291773667,67.10526315789474,67.10526315789474,16.143105340726756,0.14310534072675551,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
3R-Ta0.9W0.1Se2,SC_Binary,Fm,4.156899291773667,57.77777777777778,57.77777777777778,13.899248868529876,0.10075113147012438,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
4H-NbSe2,SC_Binary,Fm,4.156899291773667,30.76923076923077,30.76923076923077,7.401966853063247,0.4019668530632474,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
4H-TaS2,SC_Binary,Fm,4.156899291773667,100.00000000000001,100.00000000000001,24.056392272455557,0.056392272455557446,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
